geoid,year,male_17_and_below,male_18_24,male_25_34,male_35_44,male_45_54,male_55_64,male_65_74,male_75_and_above
16000US0455000,2008,224813,75502,138210,121379,105617,69683,29578,19260
16000US0455000,2009,237092,76628,152226,126297,107543,70037,30419,22565
16000US0455000,2010,211246,76656,118987,107214,92250,68649,34546,22321
16000US0455000,2011,211859,82426,110413,107343,99208,74321,33311,21097
16000US0455000,2012,205820,80935,119173,107130,96683,73054,36854,23523
16000US0455000,2013,207484,83608,124647,102619,102278,75758,37818,21938
16000US0455000,2014,206980,76657,123929,108792,101108,77854,43383,25212
16000US0455000,2015,215608,80490,124208,113292,100197,82303,44088,26647
16000US0455000,2016,221899,82900,127378,112720,100104,82292,47974,26517
16000US0455000,2017,215720,80946,127830,111411,108190,89150,50272,27726
16000US0455000,2018,217137,82026,140909,111856,105599,85877,49858,31306
16000US0455000,2019,213038,82824,137777,121976,104714,94067,54476,29803
