geoid,year,female_income_above_total,female_income_below_total,female_income_above_18_24,female_income_above_25_34,female_income_above_35_44,female_income_above_45_54,female_income_above_55_64,female_income_above_75_and_above,female_income_below_18_24,female_income_below_25_34,female_income_below_35_44,female_income_below_45_54,female_income_below_55_64,female_income_below_75_and_above
16000US0455000,2008,587652,149854,47133,88283,88037,90401,62174,29048,15800,28571,18856,11316,6552,4092
16000US0455000,2009,596085,167932,50357,97595,87178,84139,63832,29279,18579,28352,20276,14488,8114,3539
16000US0455000,2010,548301,164268,48988,84074,79670,80161,62767,25433,22187,28835,22434,15914,9150,4075
16000US0455000,2011,552799,169938,49715,82200,80622,83230,63876,27726,23323,26149,23905,18537,10448,4504
16000US0455000,2012,550743,188968,50467,82135,81463,81103,64723,28592,24826,27308,27387,18399,11309,3382
16000US0455000,2013,563077,189947,52821,88800,77684,82036,67990,27064,24084,30292,26203,19304,11823,3675
16000US0455000,2014,581194,185317,53179,90266,80884,84029,66799,27315,23980,27522,27257,17128,12041,4049
16000US0455000,2015,584960,186041,52901,90230,82798,83541,70015,33006,22725,29608,27389,16848,12839,5107
16000US0455000,2016,627311,177545,56468,97178,87344,88848,76059,31457,18907,26561,22200,16590,12921,6058
16000US0455000,2017,663810,143075,62918,105651,91055,85953,77420,34971,15322,21448,19981,13822,11816,4716
16000US0455000,2018,686539,142025,61725,116442,92706,95216,79662,34367,12918,22156,18380,13027,11600,4853
16000US0455000,2019,694945,140496,61508,112773,96759,94356,85975,33650,14772,22881,17181,10996,12245,5646
