geoid,year,male_income_above_total,male_income_below_total,male_income_above_18_24,male_income_above_25_34,male_income_above_35_44,male_income_above_45_54,male_income_above_55_64,male_income_above_75_and_above,male_income_below_18_24,male_income_below_25_34,male_income_below_35_44,male_income_below_45_54,male_income_below_55_64,male_income_below_75_and_above
16000US0455000,2008,636294,136103,59832,114681,101989,92271,59996,17737,13762,21558,17336,12602,9440,1361
16000US0455000,2009,648683,163961,57172,125406,102044,91778,59250,20971,18089,25098,22984,14284,10064,1099
16000US0455000,2010,560991,157292,54666,93651,83850,76507,60277,20086,19331,22435,20416,14685,7990,2000
16000US0455000,2011,565454,162724,58232,87094,87966,82819,63881,18516,22044,21043,17645,15622,9709,2314
16000US0455000,2012,567369,165894,58207,94541,87781,80946,61040,20617,21172,22749,18355,14884,11335,2334
16000US0455000,2013,581029,163356,60563,99735,81638,85566,63953,19996,21074,23081,19633,15679,11099,1424
16000US0455000,2014,581842,168375,55330,98819,86743,85498,63143,22466,18312,22983,20365,14219,14300,2354
16000US0455000,2015,615945,158414,58042,102875,91856,85969,67481,24021,20663,18583,19776,13362,14002,2102
16000US0455000,2016,643887,146953,65888,106462,95275,84720,70851,24158,15308,18272,16354,14462,10532,1996
16000US0455000,2017,671516,125780,62476,112340,96539,94188,78566,23822,15501,13805,13465,12773,9872,3595
16000US0455000,2018,699310,113898,69181,124065,97562,94408,74914,27922,11361,14421,12571,10565,10597,3097
16000US0455000,2019,708563,118129,65704,121680,107538,94100,79940,26719,14439,13468,13177,10024,13162,2840
