geoid,year,female_17_and_below,female_18_24,female_25_34,female_35_44,female_45_54,female_55_64,female_65_74,female_75_and_above
16000US0455000,2008,214921,63197,117240,107187,101973,68867,34306,33524
16000US0455000,2009,229385,69214,126436,107702,99000,72192,33510,33414
16000US0455000,2010,192170,71528,113287,102882,96232,71964,39513,30036
16000US0455000,2011,193733,74057,108472,104638,101966,74601,38337,33702
16000US0455000,2012,198293,76355,109712,109090,99620,76316,43385,32816
16000US0455000,2013,196667,77449,119292,104018,101357,79917,46779,31721
16000US0455000,2014,205929,78509,117849,108261,101615,79266,49705,31996
16000US0455000,2015,195125,76132,119956,110234,100483,83075,52272,38891
16000US0455000,2016,214171,77324,123865,109732,105550,89325,54615,38675
16000US0455000,2017,210548,79884,127294,111150,99904,89678,56062,40320
16000US0455000,2018,210651,77548,138761,111199,108574,91436,57713,39822
16000US0455000,2019,207073,78815,135811,113970,105542,98474,62402,40226
